ring_index,radius_px,year
1,22,2007
2,22,2008
3,39,2009
4,57,2010
5,72,2011
6,98,2012
7,125,2013
8,139,2014
9,160,2015
10,182,2016
11,197,2017
12,219,2018
13,237,2019
14,251,2020
15,274,2021
16,293,2022
17,318,2023
18,337,2024
19,350,2025
