ring_index,radius_px,year
1,24,2006
2,33,2007
3,41,2008
4,51,2009
5,59,2010
6,72,2011
7,81,2012
8,87,2013
9,94,2014
10,102,2015
11,109,2016
12,115,2017
13,124,2018
14,136,2019
15,222,2020
16,239,2021
17,260,2022
18,277,2023
19,298,2024
20,314,2025
