ring_index,radius_px,year
1,4,1999
2,10,2000
3,18,2001
4,25,2002
5,37,2003
6,41,2004
7,47,2005
8,55,2006
9,68,2007
10,77,2008
11,92,2009
12,100,2010
13,107,2011
14,115,2012
15,126,2013
16,132,2014
17,146,2015
18,163,2016
19,180,2017
20,221,2018
21,236,2019
22,253,2020
23,267,2021
24,290,2022
25,302,2023
26,334,2024
27,349,2025
