ring_index,radius_px,year
1,8,2004
2,19,2005
3,33,2006
4,42,2007
5,52,2008
6,61,2009
7,82,2010
8,92,2011
9,107,2012
10,114,2013
11,123,2014
12,140,2015
13,156,2016
14,174,2017
15,209,2018
16,224,2019
17,241,2020
18,263,2021
19,300,2022
20,315,2023
21,329,2024
22,351,2025
