ring_index,radius_px,year
1,0,2010
2,38,2011
3,42,2012
4,50,2013
5,58,2014
6,66,2015
7,90,2016
8,101,2017
9,111,2018
10,138,2019
11,216,2020
12,238,2021
13,254,2022
14,276,2023
15,301,2024
16,321,2025
