ring_index,radius_px,year
1,20,2007
2,32,2008
3,49,2009
4,63,2010
5,81,2011
6,94,2012
7,107,2013
8,120,2014
9,143,2015
10,156,2016
11,184,2017
12,201,2018
13,216,2019
14,240,2020
15,266,2021
16,278,2022
17,296,2023
18,310,2024
19,336,2025
