ring_id,x,y
0,11,246
0,12,245
0,13,243
0,14,242
0,15,241
0,16,240
0,17,239
0,18,237
0,19,236
0,20,235
0,21,234
0,22,232
0,23,231
0,24,230
0,25,229
0,26,228
0,27,227
0,28,226
0,29,225
0,30,224
0,31,223
0,32,221
0,33,220
0,34,219
0,35,218
0,36,217
0,37,216
0,38,215
0,39,214
0,40,212
0,41,211
0,42,209
0,43,208
0,44,206
0,45,204
0,46,202
0,47,201
0,48,200
0,49,198
0,50,197
0,51,196
0,52,195
0,53,194
0,54,193
0,55,192
0,56,191
0,57,189
0,58,188
0,59,187
0,60,185
0,61,184
0,62,183
0,63,182
0,64,181
0,65,179
0,66,178
0,67,176
0,68,174
0,69,173
0,70,171
0,71,169
0,72,168
0,73,166
0,74,165
0,75,163
0,76,161
0,77,160
0,78,158
0,79,156
0,80,154
0,81,153
0,82,151
0,83,149
0,84,148
0,85,146
0,86,144
0,87,143
0,88,141
1,7,270
1,8,268
1,9,267
1,10,265
1,11,263
1,12,262
1,13,260
1,14,258
1,15,256
1,16,255
1,17,253
1,18,252
1,19,251
1,20,250
1,21,249
1,22,248
1,23,246
1,24,245
1,25,243
1,26,242
1,27,241
1,28,240
1,29,238
1,30,237
1,31,236
1,32,235
1,33,234
1,34,232
1,35,231
1,36,230
1,37,229
1,38,228
1,39,227
1,40,226
1,41,225
1,42,223
1,43,222
1,44,221
1,45,220
1,46,219
1,47,218
1,48,217
1,49,216
1,50,214
1,51,213
1,52,211
1,53,208
1,54,206
1,55,204
1,56,203
1,57,202
1,58,201
1,59,199
1,60,198
1,61,197
1,62,196
1,63,195
1,64,194
1,65,192
1,66,190
1,67,189
1,68,188
1,69,187
1,70,185
1,71,184
1,72,182
1,73,180
1,74,178
1,75,177
1,76,175
1,77,174
1,78,172
1,79,171
1,80,169
1,81,167
1,82,165
1,83,164
1,84,162
1,85,160
