ring_id,x,y
0,4,38
0,5,36
0,6,35
0,7,35
0,8,34
0,9,35
0,10,35
0,11,34
0,12,36
0,13,32
0,14,24
0,15,23
0,16,23
0,17,22
0,18,24
0,19,23
0,20,23
0,21,22
0,22,22
0,23,22
0,24,21
0,25,22
0,26,21
0,27,22
0,28,22
0,29,22
0,30,23
0,31,23
0,32,23
0,33,23
0,34,23
0,35,23
0,36,23
0,37,23
0,38,24
0,39,23
0,40,23
0,41,23
0,42,23
0,43,23
0,44,23
0,45,24
0,46,23
0,47,24
0,48,24
0,49,24
0,50,24
0,51,25
0,52,23
0,53,25
0,54,24
0,55,25
0,56,24
0,57,24
0,58,24
0,59,26
0,60,24
0,61,24
0,62,25
0,63,26
0,64,27
0,65,27
0,66,27
0,67,27
0,68,27
0,69,27
0,70,27
0,71,27
0,72,27
0,73,27
0,74,27
0,75,27
0,76,27
0,77,27
0,78,27
0,79,27
0,80,27
0,81,27
0,82,27
0,83,27
0,84,27
0,85,28
0,86,27
0,87,27
0,88,28
0,89,27
1,4,451
1,5,451
1,6,450
1,7,450
1,8,450
1,9,451
1,10,450
1,11,450
1,12,449
1,13,450
1,14,450
1,15,450
1,16,448
1,17,451
1,18,450
1,19,451
1,20,450
1,21,451
1,22,451
1,23,451
1,24,451
1,25,451
1,26,450
1,27,451
1,28,451
1,29,451
1,30,450
1,31,451
1,32,451
1,33,451
1,34,450
1,35,451
1,36,451
1,37,451
1,38,451
1,39,451
1,40,451
1,41,451
1,42,451
1,43,451
1,44,451
1,45,451
1,46,451
1,47,451
1,48,451
1,49,451
1,50,451
1,51,451
1,52,451
1,53,451
1,54,451
1,55,451
1,56,451
1,57,451
1,58,451
1,59,451
1,60,451
1,61,451
1,62,451
1,63,451
1,64,451
1,65,451
1,66,451
1,67,451
1,68,451
1,69,451
1,70,451
1,71,451
1,72,450
1,73,451
1,74,451
1,75,451
1,76,451
1,77,451
1,78,450
1,79,450
1,80,450
1,81,450
1,82,450
1,83,444
1,84,445
1,85,444
1,86,444
1,87,443
1,88,442
1,89,442
