ring_index,radius_px,year
1,6,2006
2,30,2007
3,51,2008
4,64,2009
5,74,2010
6,81,2011
7,90,2012
8,103,2013
9,115,2014
10,148,2015
11,174,2016
12,188,2017
13,206,2018
14,236,2019
15,260,2020
16,280,2021
17,294,2022
18,312,2023
19,326,2024
20,340,2025
