ring_index,radius_px,year
1,24,2005
2,33,2006
3,41,2007
4,46,2008
5,60,2009
6,66,2010
7,76,2011
8,83,2012
9,92,2013
10,104,2014
11,110,2015
12,117,2016
13,123,2017
14,134,2018
15,225,2019
16,237,2020
17,250,2021
18,271,2022
19,284,2023
20,304,2024
21,322,2025
