ring_id,x,y
0,4,25
0,5,24
0,6,25
0,7,25
0,8,25
0,9,24
0,10,23
0,11,24
0,12,24
0,13,24
0,14,24
0,15,24
0,16,23
0,17,23
0,18,23
0,19,22
0,20,22
0,21,22
0,22,22
0,23,22
0,24,22
0,25,22
0,26,22
0,27,22
0,28,22
0,29,22
0,30,22
0,31,22
0,32,22
0,33,22
0,34,22
0,35,22
0,36,22
0,37,22
0,38,23
0,39,23
0,40,23
0,41,23
0,42,24
0,43,24
0,44,25
0,45,25
0,46,25
0,47,25
0,48,25
0,49,25
0,50,25
0,51,25
0,52,25
0,53,26
0,54,26
0,55,26
0,56,27
0,57,27
0,58,29
0,59,28
0,60,28
0,61,28
0,62,28
0,63,28
0,64,26
0,65,26
0,66,26
0,67,26
0,68,26
0,69,26
0,70,26
0,71,25
0,72,25
0,73,25
0,74,25
0,75,26
0,76,27
0,77,28
0,78,28
0,79,28
0,80,28
0,81,28
0,82,27
0,83,28
0,84,29
0,85,26
0,86,26
0,87,27
0,88,27
0,89,27
0,90,27
0,91,27
1,4,458
1,5,451
1,6,454
1,7,455
1,8,456
1,9,457
1,10,457
1,11,458
1,12,458
1,13,458
1,14,459
1,15,459
1,16,459
1,17,459
1,18,459
1,19,459
1,20,459
1,21,459
1,22,458
1,23,459
1,24,458
1,25,458
1,26,457
1,27,457
1,28,457
1,29,457
1,30,457
1,31,456
1,32,456
1,33,456
1,34,456
1,35,456
1,36,456
1,37,456
1,38,456
1,39,456
1,40,456
1,41,456
1,42,456
1,43,456
1,44,456
1,45,456
1,46,456
1,47,456
1,48,456
1,49,456
1,50,457
1,51,456
1,52,456
1,53,456
1,54,455
1,55,455
1,56,456
1,57,456
1,58,455
1,59,455
1,60,455
1,61,455
1,62,455
1,63,455
1,64,455
1,65,455
1,66,455
1,67,455
1,68,455
1,69,455
1,70,456
1,71,456
1,72,455
1,73,455
1,74,455
1,75,456
1,76,456
1,77,455
1,78,455
1,79,455
1,80,455
1,81,455
1,82,454
1,83,454
1,84,454
1,85,456
1,86,457
1,87,456
1,88,455
1,89,454
1,90,453
1,91,453
