ring_id,x,y
0,22,21
0,23,21
0,24,21
0,25,21
0,26,21
0,27,21
0,28,21
0,29,21
0,30,20
0,31,20
0,32,20
0,33,20
0,34,20
0,35,20
0,36,20
0,37,20
0,38,20
0,39,21
0,40,21
0,41,21
0,42,21
0,43,21
0,44,21
0,45,21
0,46,21
0,47,21
0,48,21
0,49,21
0,50,21
0,51,21
0,52,21
0,53,21
0,54,21
0,55,21
0,56,21
0,57,21
0,58,21
0,59,21
0,60,21
0,61,21
0,62,21
0,63,21
0,64,21
0,65,21
0,66,21
0,67,21
0,68,22
0,69,22
0,70,22
0,71,22
0,72,22
0,73,22
0,74,23
0,75,23
0,76,23
0,77,23
0,78,23
0,79,23
0,80,23
0,81,23
0,82,23
0,83,23
0,84,23
0,85,23
0,86,23
0,87,23
0,88,23
0,89,24
0,90,24
0,91,24
0,92,24
0,93,24
0,94,24
0,95,24
1,19,253
1,20,253
1,21,253
1,22,253
1,23,254
1,24,253
1,25,254
1,26,254
1,27,254
1,28,254
1,29,254
1,30,254
1,31,254
1,32,254
1,33,254
1,34,254
1,35,254
1,36,254
1,37,254
1,38,255
1,39,255
1,40,255
1,41,255
1,42,255
1,43,255
1,44,255
1,45,256
1,46,256
1,47,256
1,48,256
1,49,256
1,50,256
1,51,256
1,52,256
1,53,256
1,54,257
1,55,257
1,56,257
1,57,257
1,58,257
1,59,257
1,60,258
1,61,258
1,62,258
1,63,258
1,64,258
1,65,259
1,66,259
1,67,259
1,68,259
1,69,259
1,70,259
1,71,259
1,72,259
1,73,259
1,74,260
1,75,260
1,76,260
1,77,260
1,78,260
1,79,261
1,80,261
1,81,261
1,82,261
1,83,261
1,84,261
1,85,261
1,86,261
1,87,262
1,88,262
1,89,262
1,90,263
1,91,263
1,92,263
1,93,264
1,94,264
1,95,264
1,96,265
1,97,265
2,4,256
2,5,259
2,6,258
2,7,258
2,8,259
2,9,259
2,10,259
2,11,259
2,12,259
2,13,260
2,14,259
2,15,259
2,16,258
2,17,259
2,18,258
2,19,260
2,20,260
2,21,260
2,22,258
2,23,258
2,24,258
2,25,260
2,26,261
2,27,261
2,28,260
2,29,261
2,30,262
2,31,261
2,32,260
2,33,261
2,34,262
2,35,262
2,36,262
2,37,262
2,38,263
2,39,262
2,40,263
2,41,262
2,42,263
2,43,263
2,44,261
2,45,263
2,46,264
2,47,263
2,48,264
2,49,263
2,50,263
2,51,264
2,52,263
2,53,263
2,54,265
2,55,264
2,56,264
2,57,264
2,58,264
2,59,264
2,60,264
2,61,265
2,62,265
2,63,265
2,64,265
2,65,265
2,66,264
2,67,265
2,68,266
2,69,266
2,70,266
2,71,266
2,72,266
2,73,266
2,74,266
2,75,266
2,76,267
2,77,267
2,78,267
2,79,267
2,80,265
2,81,267
2,82,267
2,83,267
2,84,266
2,85,268
2,86,268
2,87,268
2,88,266
2,89,269
2,90,268
2,91,269
2,92,269
2,93,269
2,94,270
2,95,270
2,96,271
2,97,271
3,4,374
3,5,374
3,6,375
3,7,375
3,8,375
3,9,375
3,10,375
3,11,376
3,12,376
3,13,376
3,14,375
3,15,376
3,16,375
3,17,376
3,18,378
3,19,377
3,20,378
3,21,377
3,22,377
3,23,377
3,24,376
3,25,378
3,26,380
3,27,378
3,28,378
3,29,379
3,30,379
3,31,379
3,32,379
3,33,379
3,34,379
3,35,379
3,36,381
3,37,380
3,38,380
3,39,380
3,40,380
3,41,380
3,42,381
3,43,381
3,44,381
3,45,381
3,46,381
3,47,381
3,48,381
3,49,381
3,50,382
3,51,382
3,52,382
3,53,382
3,54,382
3,55,382
3,56,383
3,57,383
3,58,383
3,59,383
3,60,383
3,61,384
3,62,384
3,63,384
3,64,384
3,65,384
3,66,384
3,67,384
3,68,384
3,69,385
3,70,385
3,71,385
3,72,385
3,73,385
3,74,386
3,75,386
3,76,386
3,77,387
3,78,387
3,79,387
3,80,387
3,81,388
3,82,388
3,83,388
3,84,388
3,85,388
3,86,388
3,87,389
3,88,389
3,89,389
3,90,389
3,91,389
3,92,389
3,93,390
3,94,390
3,95,390
3,96,390
3,97,392
