ring_index,radius_px,year
1,0,2008
2,49,2009
3,59,2010
4,66,2011
5,73,2012
6,80,2013
7,87,2014
8,93,2015
9,101,2016
10,112,2017
11,124,2018
12,135,2019
13,225,2020
14,239,2021
15,260,2022
16,279,2023
17,302,2024
18,315,2025
