ring_index,radius_px,year
1,24,2005
2,32,2006
3,39,2007
4,50,2008
5,57,2009
6,67,2010
7,74,2011
8,80,2012
9,86,2013
10,100,2014
11,107,2015
12,117,2016
13,124,2017
14,144,2018
15,220,2019
16,233,2020
17,251,2021
18,266,2022
19,291,2023
20,312,2024
21,329,2025
