ring_index,radius_px,year
1,0,2011
2,51,2012
3,57,2013
4,67,2014
5,77,2015
6,90,2016
7,96,2017
8,104,2018
9,116,2019
10,122,2020
11,134,2021
12,226,2022
13,244,2023
14,272,2024
15,300,2025
