ring_index,radius_px,year
1,0,2007
2,49,2008
3,56,2009
4,70,2010
5,76,2011
6,82,2012
7,90,2013
8,96,2014
9,102,2015
10,112,2016
11,121,2017
12,128,2018
13,132,2019
14,230,2020
15,247,2021
16,265,2022
17,294,2023
18,308,2024
19,323,2025
